#Timing,Name,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
00:00:250,Pose1,-0.000,0.008,-0.338,0.847,-0.509,-0.008,-0.000,0.008,-0.338,0.847,-0.509,-0.008
00:00:300,Pose2,-0.000,0.012,-0.338,0.847,-0.509,-0.012,-0.000,0.012,-0.338,0.847,-0.509,-0.012
00:00:350,Pose3,-0.000,0.017,-0.338,0.847,-0.509,-0.017,-0.000,0.017,-0.338,0.847,-0.509,-0.017
00:00:400,Pose4,-0.000,0.024,-0.338,0.847,-0.509,-0.024,-0.000,0.024,-0.338,0.847,-0.509,-0.024
00:00:450,Pose5,-0.000,0.035,-0.337,0.847,-0.510,-0.035,-0.000,0.035,-0.337,0.847,-0.510,-0.035
00:00:500,Pose6,-0.000,0.044,-0.336,0.847,-0.511,-0.044,-0.000,0.044,-0.336,0.847,-0.511,-0.044
00:00:550,Pose7,-0.000,0.054,-0.334,0.846,-0.512,-0.054,-0.000,0.054,-0.334,0.846,-0.512,-0.054
00:00:600,Pose8,-0.000,0.067,-0.332,0.845,-0.513,-0.067,-0.000,0.067,-0.332,0.845,-0.513,-0.067
00:00:650,Pose9,-0.000,0.086,-0.329,0.843,-0.514,-0.086,-0.000,0.086,-0.329,0.843,-0.514,-0.086
00:00:700,Pose10,-0.000,0.110,-0.325,0.839,-0.515,-0.110,-0.000,0.110,-0.325,0.839,-0.515,-0.110
00:00:750,Pose11,-0.000,0.137,-0.319,0.832,-0.514,-0.137,-0.000,0.137,-0.319,0.832,-0.514,-0.137
00:00:800,Pose12,-0.000,0.158,-0.313,0.826,-0.514,-0.158,-0.000,0.158,-0.313,0.826,-0.514,-0.158
00:00:850,Pose13,-0.000,0.175,-0.371,0.933,-0.562,-0.175,-0.000,0.171,-0.308,0.825,-0.517,-0.171
00:00:900,Pose14,-0.000,0.191,-0.508,1.154,-0.646,-0.191,-0.000,0.175,-0.303,0.827,-0.523,-0.175
00:00:950,Pose15,-0.000,0.188,-0.619,1.254,-0.635,-0.188,-0.000,0.168,-0.294,0.833,-0.539,-0.168
00:01:000,Pose16,-0.000,0.160,-0.573,1.099,-0.526,-0.160,-0.000,0.151,-0.286,0.840,-0.554,-0.151
