#Timing,Name,HeadYaw,HeadPitch,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RWristYaw,LWristYaw
00:01:750,Pose01,0.006,-0.658,2.067,-0.541,1.282,0.822,2.067,0.397,-1.364,-0.807,-0.846,-0.191,0.243,0.112,0.446,0.166,-0.846,0.027,0.303,0.130,0.794,-0.042,1.816,-1.814 
00:01:800,Pose02,0.005,-0.656,2.061,-0.540,1.258,0.790,2.063,0.400,-1.338,-0.773,-0.825,-0.186,0.232,0.151,0.437,0.162,-0.825,0.025,0.288,0.178,0.778,-0.041,1.819,-1.817 
00:01:850,Pose03,0.005,-0.654,2.053,-0.538,1.226,0.756,2.057,0.403,-1.304,-0.739,-0.799,-0.180,0.218,0.200,0.427,0.158,-0.799,0.023,0.271,0.233,0.759,-0.041,1.821,-1.820 
00:01:900,Pose04,0.005,-0.650,2.036,-0.534,1.163,0.703,2.044,0.408,-1.238,-0.685,-0.752,-0.169,0.194,0.287,0.411,0.150,-0.752,0.020,0.242,0.328,0.726,-0.039,1.822,-1.822 
00:01:950,Pose05,0.004,-0.647,2.023,-0.531,1.112,0.667,2.033,0.410,-1.185,-0.648,-0.716,-0.160,0.175,0.354,0.401,0.144,-0.716,0.018,0.220,0.398,0.701,-0.038,1.822,-1.823 
00:02:000,Pose06,0.004,-0.644,2.008,-0.528,1.055,0.629,2.021,0.412,-1.125,-0.610,-0.677,-0.151,0.155,0.427,0.390,0.138,-0.677,0.016,0.197,0.473,0.674,-0.037,1.821,-1.823 
00:02:050,Pose07,0.003,-0.640,1.992,-0.523,0.992,0.591,2.008,0.413,-1.059,-0.572,-0.636,-0.141,0.133,0.505,0.379,0.130,-0.636,0.015,0.172,0.551,0.647,-0.035,1.821,-1.824 
00:02:100,Pose08,0.003,-0.637,1.975,-0.517,0.924,0.552,1.994,0.414,-0.988,-0.533,-0.592,-0.130,0.111,0.586,0.368,0.123,-0.592,0.013,0.147,0.633,0.618,-0.034,1.820,-1.824 
00:02:150,Pose09,0.002,-0.633,1.957,-0.511,0.852,0.513,1.979,0.414,-0.913,-0.494,-0.547,-0.119,0.087,0.671,0.357,0.115,-0.547,0.011,0.121,0.717,0.588,-0.032,1.819,-1.824 
00:02:200,Pose10,0.001,-0.629,1.939,-0.504,0.777,0.474,1.964,0.413,-0.835,-0.456,-0.501,-0.108,0.063,0.758,0.346,0.107,-0.501,0.009,0.095,0.802,0.558,-0.031,1.819,-1.824 
