#Timing,Name,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
00:00:000,Pose1,0.000,-0.000,-0.338,0.847,-0.509,0.000,0.000,-0.000,-0.338,0.847,-0.509,0.000 
00:00:050,Pose2,-0.000,-0.002,-0.338,0.847,-0.509,0.002,-0.000,-0.002,-0.338,0.847,-0.509,0.002 
00:00:100,Pose3,-0.000,-0.004,-0.338,0.847,-0.509,0.004,-0.000,-0.004,-0.338,0.847,-0.509,0.004 
00:00:150,Pose4,-0.000,-0.008,-0.338,0.847,-0.509,0.008,-0.000,-0.008,-0.338,0.847,-0.509,0.008 
00:00:200,Pose5,-0.000,-0.012,-0.338,0.847,-0.509,0.012,-0.000,-0.012,-0.338,0.847,-0.509,0.012 
00:00:250,Pose6,-0.000,-0.020,-0.338,0.847,-0.509,0.020,-0.000,-0.020,-0.338,0.847,-0.509,0.020 
00:00:300,Pose7,-0.000,-0.028,-0.338,0.847,-0.509,0.028,-0.000,-0.028,-0.338,0.847,-0.509,0.028 
00:00:350,Pose8,-0.000,-0.035,-0.338,0.847,-0.509,0.035,-0.000,-0.035,-0.338,0.847,-0.509,0.035 
00:00:400,Pose9,-0.000,-0.044,-0.337,0.847,-0.510,0.044,-0.000,-0.044,-0.337,0.847,-0.510,0.044 
00:00:450,Pose10,-0.000,-0.054,-0.336,0.846,-0.510,0.054,-0.000,-0.054,-0.336,0.846,-0.510,0.054 
00:00:500,Pose11,-0.000,-0.068,-0.335,0.846,-0.511,0.068,-0.000,-0.068,-0.335,0.846,-0.511,0.068 
00:00:550,Pose12,-0.000,-0.087,-0.333,0.844,-0.510,0.087,-0.000,-0.087,-0.333,0.844,-0.510,0.087 
00:00:600,Pose13,-0.000,-0.111,-0.330,0.840,-0.509,0.111,-0.000,-0.111,-0.330,0.840,-0.509,0.111 
00:00:650,Pose14,-0.000,-0.138,-0.326,0.833,-0.507,0.138,-0.000,-0.138,-0.326,0.833,-0.507,0.138 
00:00:700,Pose15,-0.000,-0.160,-0.322,0.827,-0.505,0.160,-0.000,-0.160,-0.322,0.827,-0.505,0.160 
00:00:750,Pose16,0.016,-0.177,-0.333,0.826,-0.505,0.177,0.016,-0.183,-0.439,1.042,-0.614,0.183 
00:00:800,Pose17,0.040,-0.178,-0.355,0.830,-0.504,0.178,0.040,-0.192,-0.545,1.218,-0.702,0.191 
00:00:850,Pose18,0.068,-0.171,-0.380,0.836,-0.505,0.172,0.068,-0.181,-0.580,1.236,-0.705,0.180 
00:00:900,Pose19,0.094,-0.154,-0.404,0.844,-0.507,0.156,0.094,-0.151,-0.529,1.078,-0.616,0.149 
00:00:950,Pose20,0.110,-0.126,-0.420,0.853,-0.512,0.129,0.110,-0.114,-0.453,0.889,-0.515,0.111 
00:01:000,Pose21,0.111,-0.086,-0.420,0.862,-0.520,0.089,0.111,-0.074,-0.447,0.876,-0.507,0.070 
00:01:050,Pose22,0.111,-0.035,-0.417,0.865,-0.526,0.038,0.111,-0.022,-0.449,0.877,-0.507,0.019 
00:01:100,Pose23,0.111,0.016,-0.411,0.860,-0.528,-0.013,0.111,0.029,-0.447,0.870,-0.502,-0.032 
00:01:150,Pose24,0.111,0.055,-0.404,0.851,-0.526,-0.052,0.111,0.069,-0.444,0.860,-0.495,-0.071 
00:01:200,Pose25,0.064,0.102,-0.509,1.150,-0.687,-0.101,0.064,0.104,-0.400,0.849,-0.494,-0.105 
00:01:250,Pose26,0.018,0.123,-0.523,1.253,-0.742,-0.123,0.018,0.112,-0.362,0.848,-0.499,-0.112 
