#Timing,Name,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
00:00:000,Pose1,0.000,-0.000,-0.338,0.847,-0.509,0.000,0.000,0.000,-0.338,0.847,-0.509,-0.000 
00:00:050,Pose2,0.000,-0.000,-0.338,0.847,-0.509,0.000,0.000,-0.000,-0.338,0.847,-0.509,0.000 
00:00:100,Pose3,0.000,-0.002,-0.338,0.847,-0.509,0.002,0.000,-0.002,-0.338,0.847,-0.509,0.002 
00:00:150,Pose4,0.000,-0.008,-0.338,0.847,-0.509,0.008,0.000,-0.008,-0.338,0.847,-0.509,0.008 
00:00:200,Pose5,0.000,-0.004,-0.338,0.847,-0.509,0.004,0.000,-0.004,-0.338,0.847,-0.509,0.004 
00:00:250,Pose6,0.000,-0.012,-0.338,0.847,-0.509,0.012,0.000,-0.012,-0.338,0.847,-0.509,0.012 
00:00:300,Pose7,0.000,-0.020,-0.338,0.847,-0.509,0.020,0.000,-0.020,-0.338,0.847,-0.509,0.020 
00:00:350,Pose8,0.000,-0.028,-0.338,0.847,-0.509,0.028,0.000,-0.028,-0.338,0.847,-0.509,0.028 
00:00:400,Pose9,0.000,-0.035,-0.338,0.847,-0.509,0.035,0.000,-0.035,-0.338,0.847,-0.509,0.035 
00:00:450,Pose10,-0.000,-0.043,-0.339,0.847,-0.508,0.043,-0.000,-0.043,-0.339,0.847,-0.508,0.043 
00:00:500,Pose11,0.000,-0.053,-0.339,0.847,-0.507,0.053,0.000,-0.053,-0.339,0.847,-0.507,0.053 
00:00:550,Pose12,0.000,-0.067,-0.340,0.846,-0.506,0.067,0.000,-0.067,-0.340,0.846,-0.506,0.067 
00:00:600,Pose13,0.000,-0.085,-0.340,0.845,-0.505,0.085,0.000,-0.085,-0.340,0.845,-0.505,0.085 
00:00:650,Pose14,0.000,-0.136,-0.338,0.835,-0.497,0.136,0.000,-0.136,-0.338,0.835,-0.497,0.136 
00:00:700,Pose15,0.000,-0.109,-0.339,0.841,-0.502,0.109,0.000,-0.109,-0.339,0.841,-0.502,0.109 
00:00:750,Pose16,0.000,-0.157,-0.337,0.830,-0.494,0.157,0.000,-0.157,-0.337,0.830,-0.494,0.157 
00:00:800,Pose17,-0.026,-0.172,-0.317,0.831,-0.495,0.172,-0.026,-0.184,-0.425,1.043,-0.599,0.184 
00:00:850,Pose18,-0.113,-0.157,-0.250,0.840,-0.509,0.160,-0.113,-0.198,-0.458,1.230,-0.690,0.194 
00:00:900,Pose19,-0.068,-0.170,-0.285,0.835,-0.502,0.170,-0.068,-0.200,-0.481,1.215,-0.685,0.199 
00:00:950,Pose20,-0.155,-0.134,-0.221,0.848,-0.517,0.139,-0.155,-0.172,-0.352,1.069,-0.606,0.165 
00:01:000,Pose21,-0.181,-0.098,-0.206,0.858,-0.523,0.105,-0.181,-0.135,-0.238,0.878,-0.511,0.125 
00:01:050,Pose22,-0.182,0.009,-0.222,0.869,-0.519,-0.000,-0.182,-0.027,-0.224,0.869,-0.517,0.019 
